Date,Open,High,Low,Close,Adj Close,Volume
8/6/2010,648.88,653.66,639.74,650.68,650.68,3857890000.00
8/5/2010,658.76,661.16,655.07,655.07,655.07,3685560000.00
8/4/2010,657.84,663.37,657.82,662.96,662.96,4057850000.00
8/3/2010,659.31,664.37,652.04,655.66,655.66,4071820000.00
8/2/2010,657.42,664.46,656.74,661.86,661.86,4144180000.00
7/30/2010,643.44,654.80,639.47,650.89,650.89,4006450000.00
7/29/2010,654.54,658.48,640.57,650.43,650.43,4612420000.00
7/28/2010,660.21,663.01,648.45,650.76,650.76,4002390000.00
7/27/2010,668.48,672.16,660.09,662.17,662.17,4725690000.00
7/26/2010,652.40,665.30,650.14,665.22,665.22,4009650000.00
7/23/2010,632.80,650.88,631.04,650.65,650.65,4524570000.00
7/22/2010,618.46,635.95,618.46,635.48,635.48,4826900000.00
7/21/2010,627.53,629.42,611.85,612.64,612.64,4747180000.00
7/20/2010,606.76,624.31,603.50,624.24,624.24,4713280000.00
7/19/2010,612.26,614.02,602.64,613.08,613.08,4089500000.00
7/16/2010,631.36,631.36,609.57,610.39,610.39,5297350000.00
7/15/2010,640.30,640.30,627.33,634.62,634.62,4552470000.00
7/14/2010,640.32,643.47,635.63,640.16,640.16,4521050000.00
7/13/2010,626.72,644.33,626.72,642.82,642.82,4640460000.00
7/12/2010,627.64,631.35,617.58,621.61,621.61,3426990000.00
7/9/2010,619.35,629.55,618.39,629.43,629.43,3506570000.00
7/8/2010,615.63,620.40,611.54,620.27,620.27,4548460000.00
7/7/2010,592.11,611.68,592.09,611.66,611.66,4931220000.00
7/6/2010,605.06,613.31,587.67,590.03,590.03,4691240000.00
7/2/2010,604.93,608.69,595.39,598.97,598.97,3968500000.00
7/1/2010,609.77,611.11,590.57,604.76,604.76,6435770000.00
6/30/2010,616.34,623.71,608.34,609.49,609.49,5067080000.00
6/29/2010,635.96,635.96,612.09,615.96,615.96,6136700000.00
6/28/2010,644.16,649.72,638.53,641.54,641.54,3896410000.00
6/25/2010,635.20,646.67,631.22,645.11,645.11,5128840000.00
6/24/2010,641.61,643.37,632.87,633.17,633.17,4814830000.00
6/23/2010,645.29,650.04,637.74,644.25,644.25,4526150000.00
6/22/2010,661.80,668.21,645.63,645.91,645.91,4514380000.00
6/21/2010,673.12,677.15,656.67,660.03,660.03,4514360000.00
6/18/2010,667.35,671.55,663.91,666.92,666.92,4555360000.00
6/17/2010,668.91,669.34,659.36,665.85,665.85,4557760000.00
6/16/2010,663.85,671.74,662.29,666.13,666.13,5002600000.00
6/15/2010,655.61,669.95,654.47,668.77,668.77,4644490000.00
6/14/2010,653.85,662.95,651.01,652.27,652.27,4425830000.00
6/11/2010,634.18,649.00,632.82,649.00,649.00,4059280000.00
6/10/2010,624.19,639.79,624.19,639.79,639.79,5144780000.00
6/9/2010,619.98,632.24,615.56,618.29,618.29,5983200000.00
6/8/2010,620.33,623.83,607.29,617.69,617.69,6192750000.00
6/7/2010,636.01,639.22,617.99,618.49,618.49,5467560000.00
6/4/2010,658.60,658.60,633.13,633.97,633.97,6180580000.00
6/3/2010,661.15,669.35,658.86,667.37,667.37,4995970000.00
6/2/2010,644.08,660.52,640.36,660.52,660.52,5026360000.00
6/1/2010,657.54,662.72,640.96,640.96,640.96,5271480000.00
5/28/2010,668.83,670.08,657.36,661.61,661.61,4871210000.00
5/27/2010,650.75,670.59,650.74,670.51,670.51,5698460000.00
5/26/2010,642.90,657.95,640.35,642.62,642.62,4521050000.00
5/25/2010,632.67,640.88,617.61,640.02,640.02,7329580000.00
5/24/2010,648.11,652.80,641.15,641.21,641.21,5224040000.00
5/21/2010,634.98,654.50,629.56,649.29,649.29,5452130000.00
5/20/2010,665.91,665.91,640.04,640.04,640.04,8328570000.00
5/19/2010,680.22,686.15,665.83,674.40,674.40,6765800000.00
5/18/2010,700.97,705.34,681.54,682.75,682.75,6170840000.00
5/17/2010,696.59,703.62,677.94,695.71,695.71,5922920000.00
5/14/2010,709.32,709.32,686.50,693.98,693.98,6126400000.00
5/13/2010,713.65,719.70,705.96,709.85,709.85,4870640000.00
5/12/2010,695.72,716.22,695.72,716.11,716.11,5225460000.00
5/11/2010,683.97,704.03,680.58,695.48,695.48,5842550000.00
5/10/2010,668.25,689.89,668.25,689.61,689.61,6893700000.00
5/7/2010,671.08,675.51,647.64,653.00,653.00,9472910000.00
5/6/2010,695.70,700.89,637.69,672.23,672.23,10617810000.00
5/5/2010,703.29,708.64,693.89,698.58,698.58,6795940000.00
5/4/2010,726.36,726.36,705.84,709.70,709.70,6594720000.00
5/3/2010,719.30,732.87,719.30,732.82,732.82,4938050000.00
4/30/2010,738.27,738.63,716.48,716.60,716.60,6048260000.00
4/29/2010,725.86,737.74,724.26,737.74,737.74,6059410000.00
4/28/2010,723.97,726.69,719.77,722.39,722.39,6342310000.00
4/27/2010,736.13,741.72,720.46,721.27,721.27,7454540000.00
4/26/2010,741.58,745.95,738.63,738.86,738.86,5647760000.00
4/23/2010,734.48,741.92,731.72,741.92,741.92,5326060000.00
4/22/2010,721.13,734.36,715.62,734.31,734.31,6035780000.00
4/21/2010,721.54,726.81,719.90,726.19,726.19,5724310000.00
4/20/2010,713.43,721.55,712.38,721.55,721.55,5316590000.00
4/19/2010,714.35,716.81,702.25,711.40,711.40,6597740000.00
4/16/2010,723.57,723.99,710.29,714.62,714.62,8108470000.00
4/15/2010,722.11,725.13,720.70,724.21,724.21,5995330000.00
4/14/2010,709.91,722.40,709.91,722.40,722.40,5760040000.00
4/13/2010,704.04,707.24,700.41,707.03,707.03,5403580000.00
4/12/2010,703.73,706.46,701.96,705.06,705.06,4607090000.00
4/9/2010,700.89,702.95,696.07,702.95,702.95,4511570000.00
4/8/2010,697.41,701.52,692.48,699.64,699.64,4726970000.00
4/7/2010,700.21,702.84,695.36,699.46,699.46,5101430000.00
4/6/2010,694.96,702.65,693.94,701.48,701.48,4086180000.00
4/5/2010,686.23,697.65,685.46,697.65,697.65,3881620000.00
4/1/2010,681.57,686.50,677.75,683.98,683.98,4006870000.00
3/31/2010,681.37,687.73,678.64,678.64,678.64,4484340000.00
3/30/2010,682.90,686.64,679.85,683.94,683.94,4085000000.00
3/29/2010,680.64,683.45,679.27,682.25,682.25,4375580000.00
3/26/2010,679.08,685.50,676.79,678.97,678.97,4708420000.00
3/25/2010,687.12,693.32,678.88,679.10,679.10,5668900000.00
3/24/2010,688.12,689.36,683.37,683.68,683.68,4705750000.00
3/23/2010,683.13,690.85,680.63,690.30,690.30,4411640000.00
3/22/2010,669.88,683.29,667.49,682.91,682.91,4261680000.00
3/19/2010,682.40,683.62,671.17,673.89,673.89,5212410000.00
3/18/2010,682.07,685.97,680.78,681.61,681.61,4234510000.00
3/17/2010,680.36,686.94,680.23,683.98,683.98,4963200000.00
3/16/2010,674.64,679.58,673.05,679.58,679.58,4369770000.00
3/15/2010,675.35,676.21,669.40,674.41,674.41,4164110000.00
3/12/2010,678.90,678.90,672.57,676.59,676.59,4928160000.00
3/11/2010,671.67,677.22,668.90,677.22,677.22,4669060000.00
3/10/2010,670.09,677.47,669.86,674.93,674.93,5469120000.00
3/9/2010,665.26,673.43,664.60,669.63,669.63,5185570000.00
3/8/2010,665.96,668.16,664.99,667.11,667.11,3774680000.00
3/5/2010,654.87,666.02,654.87,666.02,666.02,4133000000.00
3/4/2010,650.25,652.51,648.18,652.47,652.47,3945010000.00
3/3/2010,649.55,653.88,647.64,649.26,649.26,3951320000.00
3/2/2010,643.43,650.26,643.43,648.31,648.31,4134680000.00
3/1/2010,630.61,642.65,630.61,642.65,642.65,3847640000.00
2/26/2010,630.76,630.81,625.16,628.56,628.56,3945190000.00
2/25/2010,624.81,630.46,620.61,630.46,630.46,4521130000.00
2/24/2010,625.82,632.28,625.75,630.43,630.43,4168360000.00
2/23/2010,631.31,631.52,623.77,625.07,625.07,4521050000.00
2/22/2010,632.83,633.55,630.46,632.25,632.25,3814440000.00
2/19/2010,628.64,632.84,626.60,631.62,631.62,3944280000.00
2/18/2010,623.60,629.32,622.89,629.32,629.32,3878620000.00
2/17/2010,622.41,625.17,620.33,624.83,624.83,4259230000.00
2/16/2010,613.80,620.84,611.58,620.84,620.84,4080770000.00
2/12/2010,600.92,610.72,598.03,610.72,610.72,4160680000.00
2/11/2010,594.30,605.60,590.61,605.46,605.46,4400870000.00
2/10/2010,593.29,596.83,587.43,595.82,595.82,4251450000.00
