Date,Open,High,Low,Close,Adj Close,Volume
4/9/2019,26243.54,26246.34,26103.14,26150.58,26150.58,"244,410,000"
4/10/2019,26173.71,26209.49,26101.24,26157.16,26157.16,"203,130,000"
4/11/2019,26188.21,26229.88,26062.59,26143.05,26143.05,"211,680,000"
4/12/2019,26357.79,26436.68,26309.72,26412.3,26412.3,"369,910,000"
4/15/2019,26407.76,26424.85,26316.42,26384.77,26384.77,"250,620,000"
4/16/2019,26482.19,26530.71,26397.19,26452.66,26452.66,"302,340,000"
4/17/2019,26468.53,26501.02,26391.86,26449.54,26449.54,"367,780,000"
4/18/2019,26463.37,26602.42,26444.53,26559.54,26559.54,"332,850,000"
4/22/2019,26510.77,26553.05,26458.61,26511.05,26511.05,"232,570,000"
4/23/2019,26513.83,26695.96,26503.56,26656.39,26656.39,"311,690,000"
4/24/2019,26652.56,26680.58,26582.86,26597.05,26597.05,"283,370,000"
4/25/2019,26426.37,26536.48,26310.28,26462.08,26462.08,"296,730,000"
4/26/2019,26454.62,26543.56,26392.55,26543.33,26543.33,"317,290,000"
4/29/2019,26559.87,26602.54,26520.75,26554.39,26554.39,"279,450,000"
4/30/2019,26594.56,26614.04,26419.47,26592.91,26592.91,"340,320,000"
5/1/2019,26639.06,26689.39,26426.38,26430.14,26430.14,"303,850,000"
5/2/2019,26407.15,26454.69,26180.36,26307.79,26307.79,"287,610,000"
5/3/2019,26379.14,26534.96,26370.09,26504.95,26504.95,"248,900,000"
5/6/2019,26160.62,26476.27,26033.95,26438.48,26438.48,"283,020,000"
5/7/2019,26276.9,26276.9,25789.71,25965.09,25965.09,"334,960,000"
5/8/2019,25933.79,26118.1,25889.41,25967.33,25967.33,"276,420,000"
5/9/2019,25878.85,25884.89,25517.39,25828.36,25828.36,"334,760,000"
5/10/2019,25763.72,26019.32,25469.86,25942.37,25942.37,"294,580,000"
5/13/2019,25568.06,25568.06,25222.51,25324.99,25324.99,"361,240,000"
5/14/2019,25384.03,25688.96,25384.03,25532.05,25532.05,"291,570,000"
5/15/2019,25400.13,25724.89,25341.94,25648.02,25648.02,"270,720,000"
5/16/2019,25692.14,25957.63,25692.14,25862.68,25862.68,"320,960,000"
5/17/2019,25719.95,25948.74,25657.78,25764,25764,"283,760,000"
5/20/2019,25655.31,25751.71,25560.55,25679.9,25679.9,"279,560,000"
5/21/2019,25782.34,25898.27,25779.61,25877.33,25877.33,"260,870,000"
5/22/2019,25818.46,25878.21,25755.11,25776.61,25776.61,"241,760,000"
5/23/2019,25657.99,25657.99,25328.09,25490.47,25490.47,"316,940,000"
5/24/2019,25551.07,25670.81,25496.2,25585.69,25585.69,"201,370,000"
5/28/2019,25616.55,25717.63,25342.28,25347.77,25347.77,"358,980,000"
5/29/2019,25231.46,25231.46,24938.24,25126.41,25126.41,"298,930,000"
5/30/2019,25139.94,25218.54,25066.75,25169.88,25169.88,"215,240,000"
5/31/2019,25046.31,25046.31,24809.51,24815.04,24815.04,"292,230,000"
6/3/2019,24830.16,24935.21,24680.57,24819.78,24819.78,"328,240,000"
6/4/2019,24962.82,25343.77,24962.82,25332.18,25332.18,"281,690,000"
6/5/2019,25451,25544.66,25373.58,25539.57,25539.57,"262,660,000"
6/6/2019,25567.45,25800.3,25518.05,25720.66,25720.66,"248,070,000"
6/7/2019,25768.72,26072.75,25768.72,25983.94,25983.94,"263,010,000"
6/10/2019,26090.22,26210.61,26054.31,26062.68,26062.68,"249,280,000"
6/11/2019,26180.59,26248.67,25998.87,26048.51,26048.51,"253,490,000"
6/12/2019,26040.3,26082.1,25958.66,26004.83,26004.83,"223,690,000"
