Symbol,Date,Open,High,Low,Close,Adj Close,Volume
M,6/21/2018,39.25,39.77,39.110001,39.32,39.32,4897200
M,6/22/2018,39.68,39.709999,37.200001,37.43,37.43,7737700
M,6/25/2018,37.5,37.68,36.709999,36.970001,36.970001,7588900
M,6/26/2018,37,37.91,36.700001,37.860001,37.860001,6398100
M,6/27/2018,38.209999,38.919998,37.790001,37.880001,37.880001,6102200
M,6/28/2018,37.669998,38.619999,37.509998,38.48,38.48,4930500
M,6/29/2018,38.880001,38.950001,37.400002,37.43,37.43,4854400
M,7/2/2018,36.950001,37.110001,36.009998,36.540001,36.540001,7543000
M,7/3/2018,36.959999,37.52,36.740002,37.130001,37.130001,2981800
M,7/5/2018,37.48,37.48,36.470001,36.889999,36.889999,4213400
M,7/6/2018,36.700001,37.360001,36.380001,36.889999,36.889999,4197500
M,7/9/2018,37.189999,37.470001,36.209999,36.459999,36.459999,5836500
M,7/10/2018,36.310001,37.25,36.299999,36.720001,36.720001,6810800
M,7/11/2018,36.52,36.580002,35.799999,36.439999,36.439999,4536700
M,7/12/2018,36.389999,36.450001,35.310001,36.119999,36.119999,8728100
M,7/13/2018,36.049999,36.869999,35.950001,36.389999,36.389999,6018400
M,7/16/2018,36.57,37.290001,35.93,36.990002,36.990002,7190300
M,7/17/2018,36.779999,37.360001,36.639999,37.07,37.07,5874000
M,7/18/2018,37.169998,37.709999,36.849998,37.700001,37.700001,4491600
M,7/19/2018,37.790001,39.07,37.77,38.959999,38.959999,8734400
NFLX,6/20/2018,415.149994,419.470001,409.600006,416.76001,416.76001,16494600
NFLX,6/21/2018,421.380005,423.209991,406.369995,415.440002,415.440002,18389900
NFLX,6/22/2018,419.980011,420.5,409.649994,411.089996,411.089996,10428600
NFLX,6/25/2018,404.690002,405.98999,378.75,384.480011,384.480011,22490900
NFLX,6/26/2018,393.279999,404.779999,389.049988,399.390015,399.390015,15191200
NFLX,6/27/2018,407.559998,411.589996,390,390.390015,390.390015,16541400
NFLX,6/28/2018,395,396.899994,387.100006,395.420013,395.420013,12219900
NFLX,6/29/2018,399.190002,401.329987,390.549988,391.429993,391.429993,9252500
NFLX,7/2/2018,385.450012,398.380005,380,398.179993,398.179993,8142500
NFLX,7/3/2018,399.48999,399.980011,389.5,390.519989,390.519989,5280300
NFLX,7/5/2018,393.799988,399.23999,390.859985,398.390015,398.390015,8448900
NFLX,7/6/2018,397.450012,408.649994,395.519989,408.25,408.25,8629600
NFLX,7/9/2018,415.950012,419.119995,411.100006,418.970001,418.970001,11127500
NFLX,7/10/2018,417.23999,419.440002,413.079987,415.630005,415.630005,9382900
NFLX,7/11/2018,411.339996,419.769989,410.600006,418.649994,418.649994,9713900
NFLX,7/12/2018,415.160004,416.790009,407.799988,413.5,413.5,12743300
NFLX,7/13/2018,409.190002,410,395.079987,395.799988,395.799988,15719000
NFLX,7/16/2018,398.980011,403.359985,391.75,400.480011,400.480011,22960000
NFLX,7/17/2018,346.950012,385,344,379.480011,379.480011,58410400
NFLX,7/18/2018,381.23999,383.130005,372.359985,375.130005,375.130005,21746300
NFLX,7/19/2018,371.059998,375.75,363,364.230011,364.230011,16843700
NTAP,6/20/2018,78.309998,78.709999,77.860001,78.160004,77.755501,2246500
NTAP,6/21/2018,78.489998,79.150002,77.690002,77.75,77.347618,2457400
NTAP,6/22/2018,78.339996,78.699997,76.839996,76.959999,76.561707,4008000
NTAP,6/25/2018,76.370003,77.080002,75.339996,76.940002,76.541817,3292800
NTAP,6/26/2018,77.309998,78.25,77.080002,77.93,77.526688,2769700
NTAP,6/27/2018,78.32,79.059998,76.110001,76.339996,75.944916,2640500
NTAP,6/28/2018,76.510002,77.610001,76.209999,77.309998,76.909897,3485400
NTAP,6/29/2018,78.07,79.75,77.739998,78.529999,78.123581,3296500
NTAP,7/2/2018,77.940002,79.57,77.559998,79.18,78.770218,2108000
NTAP,7/3/2018,79.809998,79.900002,77.269997,77.290001,76.889999,1911600
NTAP,7/5/2018,77.849998,77.989998,76.610001,77.779999,77.779999,2929100
NTAP,7/6/2018,77.82,79.019997,77.330002,78.769997,78.769997,1387000
NTAP,7/9/2018,79.300003,79.650002,78.339996,79.389999,79.389999,2436300
NTAP,7/10/2018,79.779999,80.029999,78.449997,79.239998,79.239998,2572500
NTAP,7/11/2018,78.75,80.029999,78.75,79.589996,79.589996,2265200
NTAP,7/12/2018,80.309998,82.129997,80,81.849998,81.849998,2853800
NTAP,7/13/2018,81.650002,82.870003,81.650002,82.699997,82.699997,1470700
